0.75873,-0.8806,0.97918,0.99345,-0.21456,0.99792,-1.0197,-1.5529,0.92885,0.31053,-1.2405,-1.4562,1.5109,1.2269,0.76177,0.25711,-0.91098,0.84545,-0.67263,1.4923,-0.44137,-0.45617,-1.0113,-1.4299,-0.38876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7566,-0.42981,-0.70131,-1.0254,1.4357,0.72665,-1.2816,0.027328,0.088075,-0.32975,0.9596,-0.58727,0.12693,-1.2227,-0.13515,-0.77202,-0.94209,0.87427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.75767,-1.0658,1.4249,-0.43817,-0.71681,0.61626,0.67881,-1.5664,-0.024608,-0.45774,-0.17223,-0.71137,-1.4874,-0.68128,1.5422,1.5492,0.51673,-1.0268,-0.81097,0.25979,-0.35549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.79839,-0.49091,0.663,-1.1529,-1.069,1.0607,-0.88507,1.505,1.1309,-0.78278,1.1212,0.51295,-0.77603,0.73124,1.4257,0.41529,1.2642,-0.29568,0.61447,1.125,-1.3503,1.5068,-0.023899,0.9757,0.30233,0.29028,0.16971,-0.56778,NaN,NaN,NaN,NaN,NaN,NaN
0.74097,-0.19354,-0.81747,0.6657,0.18553,0.33022,1.1322,1.0983,1.1861,0.72098,-0.97127,-0.81483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.78925,0.28176,0.56059,-0.67308,-1.4246,1.3966,0.31997,-1,-0.97367,-0.013126,1.1292,-0.19708,-1.3989,0.91033,0.68405,-1.1205,-0.58492,-1.5311,0.20735,0.71255,-0.41577,-0.144,-1.2795,-1.2851,0.5678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7651,0.31202,-0.60671,1.3349,-0.32737,0.42439,-1.4099,-1.1849,1.0337,0.88299,-1.1358,1.3237,0.64225,0.14625,1.5157,1.2493,0.23397,0.17114,-0.98811,-1.1045,1.38,-1.2266,-0.36418,-0.80271,-1.2614,-1.2351,0.062052,-0.13908,0.31103,NaN,NaN,NaN,NaN,NaN
0.7846,0.46364,1.4267,0.26801,0.74912,1.3424,-1.4767,0.068416,-0.13018,1.281,-0.98296,-1.5273,0.96976,-1.094,1.4193,0.87391,-0.89957,-1.1181,-0.29614,0.037142,0.075467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.71199,-1.0785,1.4824,-0.15432,-0.020383,-1.0967,-0.90703,-0.35419,-0.22417,1.5559,-1.2309,1.2273,-1.35,-1.2371,1.1855,-1.1447,0.80789,1.1196,0.060752,0.4988,0.0077485,0.16503,0.21535,-1.1702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.78691,1.2616,-0.67126,-1.3623,-1.4079,0.68241,-0.44062,-0.21062,1.4484,-0.29218,0.21381,-1.1399,-1.1219,-0.4123,-1.1427,-1.4062,0.85045,0.38102,0.56521,0.712,-1.2727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
