   417470.0000002594	     2238.9882812500	     2238.0000000000	1012	251	231	40.250000	 24613610.1724118106
   417471.0000002411	     2404.5585937500	     2404.0000000000	572	250	231	41.250000	 24614252.8819995597
   417472.0000002232	     2569.8476562500	     2569.0000000000	868	250	231	40.000000	 24614895.7311890498
   417473.0000002052	     2735.0751953125	     2735.0000000000	77	250	231	40.750000	 24615537.8125682585
   417474.0000001872	     2900.2304687500	     2900.0000000000	236	250	231	40.750000	 24616179.4821219556
   417475.0000001695	     3065.2421875000	     3065.0000000000	248	250	231	41.000000	 24616821.5251105390
   417476.0000001530	     3230.5888671875	     3230.0000000000	603	250	231	41.500000	 24617462.6467264444
   417477.0000001377	     3396.2597656250	     3396.0000000000	266	250	231	42.000000	 24618104.9584480077
   417478.0000001211	     3561.6982421875	     3561.0000000000	715	250	231	41.500000	 24618746.4744392037
   417479.0000001041	     3726.8945312500	     3726.0000000000	916	250	231	39.750000	 24619389.0304645151
   417480.0000002620	     3892.6679687500	     3892.0000000000	684	251	231	39.750000	 24620031.6178502478
   417481.0000002454	     4057.8466796875	     4057.0000000000	867	250	231	37.750000	 24620673.2769333757
   417482.0000002295	     4222.6328125000	     4222.0000000000	648	250	231	36.500000	 24621315.1454191171
   417483.0000002135	     4387.5410156250	     4387.0000000000	554	250	231	39.500000	 24621957.9806478806
   417484.0000001967	     4551.5205078125	     4551.0000000000	533	250	231	42.250000	 24622599.1581046246
   417485.0000001814	     4715.0498046875	     4715.0000000000	51	250	231	43.000000	 24623243.0612875260
   417486.0000001652	     4878.9521484375	     4878.0000000000	975	250	231	42.500000	 24623886.9714508057
   417487.0000001499	     5043.2880859375	     5043.0000000000	295	250	231	42.750000	 24624530.8920839243
   417488.0000001336	     5207.6513671875	     5207.0000000000	667	250	231	43.000000	 24625173.4969696999
   417489.0000001193	     5371.9667968750	     5371.0000000000	990	250	231	42.500000	 24625817.2675305381
   417490.0000001041	     5536.4609375000	     5536.0000000000	472	250	231	42.750000	 24626459.7746946886
   417491.0000000885	     5701.2695312500	     5701.0000000000	276	250	231	42.750000	 24627101.5873395875
   417492.0000002480	     5866.3603515625	     5866.0000000000	369	251	231	43.250000	 24627742.6600445025
   417493.0000002329	     6029.9707031250	     6029.0000000000	994	250	231	43.000000	 24628384.6297413930
   417494.0000002168	     6190.9169921875	     6190.0000000000	939	250	231	42.250000	 24629025.8386083841
   417495.0000002001	     6351.0673828125	     6351.0000000000	69	250	231	43.000000	 24629666.1924140081
   417496.0000001846	     6510.7119140625	     6510.0000000000	729	250	231	43.000000	 24630307.6106835790
   417497.0000001686	     6670.4677734375	     6670.0000000000	479	250	231	43.250000	 24630948.5682671405
   417498.0000001528	     6830.1269531250	     6830.0000000000	130	250	231	40.250000	 24631589.6131017953
   417499.0000001375	     6989.3408203125	     6989.0000000000	349	250	231	39.750000	 24632230.6544462889
   417500.0000001229	     7148.8554687500	     7148.0000000000	876	250	231	39.500000	 24632872.0657355115
   417501.0000001082	     7308.6025390625	     7308.0000000000	617	250	231	39.000000	 24633513.5677660145
   417506.0000002081	     8126.3193359375	     8126.0000000000	327	250	232	35.250000	 24636723.0148449056
   417507.0000001930	     8289.9687500000	     8289.0000000000	992	250	232	35.000000	 24637369.9927590452
   417508.0000001788	     8453.3203125000	     8453.0000000000	328	250	232	34.250000	 24638014.9429557100
   417509.0000001646	     8616.5156250000	     8616.0000000000	528	250	232	35.750000	 24638658.5878748372
   417510.0000001506	     8779.6650390625	     8779.0000000000	681	250	232	35.000000	 24639302.4631370157
   417518.0000002214	    10081.7099609375	    10081.0000000000	727	250	236	37.750000	 24644439.9517205358
   417519.0000002083	    10244.8808593750	    10244.0000000000	902	250	236	36.750000	 24645081.9249069169
   417520.0000001951	    10408.7519531250	    10408.0000000000	770	250	236	38.500000	 24645724.1842771284
   417521.0000001824	    10571.7265625000	    10571.0000000000	744	250	236	37.500000	 24646369.2845454067
   417522.0000001678	    10735.0937500000	    10735.0000000000	96	250	236	36.000000	 24647010.5527426973
   417523.0000001548	    10898.6884765625	    10898.0000000000	705	250	236	35.750000	 24647654.1348406672
   417524.0000001420	    11062.0205078125	    11062.0000000000	21	250	236	36.250000	 24648297.7867394723
   417525.0000001292	    11225.0058593750	    11225.0000000000	6	250	236	36.000000	 24648939.7389854491
   417526.0000001181	    11387.7558593750	    11387.0000000000	774	250	236	35.750000	 24649580.7489183322
   417527.0000001076	    11550.8173828125	    11550.0000000000	837	250	236	35.750000	 24650225.0813756287
   417528.0000000947	    11716.1523437500	    11716.0000000000	156	250	236	36.750000	 24650868.5727323219
   417529.0000002587	    11883.5634765625	    11883.0000000000	577	251	236	35.500000	 24651512.9923909158
   417530.0000002469	    12052.0332031250	    12052.0000000000	34	250	236	34.500000	 24652157.1014855728
   417531.0000002352	    12220.4716796875	    12220.0000000000	483	250	236	36.000000	 24652800.9243963994
   417532.0000002233	    12388.4814453125	    12388.0000000000	493	250	236	37.000000	 24653445.5884085335
   417533.0000002118	    12556.2783203125	    12556.0000000000	285	250	236	38.750000	 24654090.1965798251
   417534.0000002002	    12724.1269531250	    12724.0000000000	130	250	236	40.750000	 24654733.7856574729
   417535.0000001885	    12891.3203125000	    12891.0000000000	328	250	236	41.500000	 24655377.4654763676
   417536.0000001770	    13056.3554687500	    13056.0000000000	364	250	236	41.500000	 24656021.0894544199
   417537.0000001654	    13218.7246093750	    13218.0000000000	742	250	236	41.750000	 24656663.3907047510
   417538.0000001542	    13380.6386718750	    13380.0000000000	654	250	236	42.500000	 24657305.3673806228
